title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Chair,  1904,oak with original leather upholstery,82.71,Decorative Arts Purchase Fund,12/2/82,Decorative Arts and Design,"Gallery 18, Bruce Galleries",15,40.5,18.75,0,"Kelmscott Gallery, Chicago, IL",Wood,Person,"Wright, Frank L.",,American,1867-01-01,1/1/59,"Richland Center, Wisconsin","Phoenix, Arizona"
Standing Balzac,1892,bronze,82.83.2,Gift of Mr. and Mrs. Carl D. Lobell,12/2/82,Fine Arts,"Gallery 4, Scaife Galleries",11.5,29.125,15,0,"Mr. and Mrs. Carl D. Lobell, New York, NY, until 1982. Gift to Museum of Art, Carnegie Institute, December 1982.",sculpture,Person,"Rodin, Auguste",,French,1840-01-01,1/1/17,"Paris (Ville de Paris department, Île-de-France, France)","Meudon (Hauts-de-Seine department, Île-de-France, France)"
The Urn of Dreams,1921,glazed porcelain,82.90.1,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 10, Scaife Galleries",8.75,10.375,8.75,0,"Dana R. Kelley, PA, Pittsburgh",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Plaque,1914,glazed porcelain,82.90.2,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,0,0,12.75,"Dana Robineau Kelley, PA, Pittsburgh",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Lantern,  1913,glazed porcelain,82.90.3,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,6,0,4,"Dana Robineau Kelley, PA, Pittsburgh",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Vase,  1920,porcelain with crystalline glaze,82.90.4,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,3.875,0,6,"Dana Robineau Kelley, PA, Pittsburgh",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Vase,1905,glazed porcelain,82.90.5,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,3.875,0,6,"Dana Robineau Kelley, PA, Pittsburgh",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Vase,  1920,glazed porcelain,82.90.6,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,5.25,0,3.25,"Dana Robineau Kelley, PA, Pittsburgh",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Miniature vase,  1920,glazed porcelain,82.90.7,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,2.25,0,1.875,"Dana Robineau Kelley, PA, Pittsburgh",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Vase,1905,glazed porcelain,82.90.8,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,5.5,0,3.25,"Dana Robineau Kelley And Family, Pittsburgh, PA",Ceramics,Person,"Robineau, Adelaide A.",,American,1865-01-01,1/1/29,"Middletown, CT","Syracuse, New York"
Plaque,1906,glazed porcelain,82.90.9,"Gift of Dana Robineau Kelley, grandson of the artist, and family",12/2/82,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,1.125,0,9.438,"Dana Robineau Kelley And Family, Pittsburgh, PA",Ceramics,Person,"Doat, Taxile Maximin",ceramicist,French,1851-01-01,1/1/39,"Albi (Tarn, Midi-Pyrénées, France)",
Punch pot,  1800,black basaltes,82.93.29.A-B,Gift of the family of Tillie S. Speyer,12/2/82,Decorative Arts and Design,"Gallery 19, Bruce Galleries",13.375,8.25,8,0,Estate of Tillie S. Speyer,Ceramics,Organization,Turner & Company,attributed to,British,1770-01-01,1806-01-01,,
Vase,  1800,black basaltes,82.93.34,Gift of the family of Tillie S. Speyer,12/2/82,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,7.125,0,3,Estate of Tillie S. Speyer,Ceramics,Organization,"Wedgwood, Josiah & Sons Ltd.",,British,1759-01-01,,,
Ewer,  1800,"black basaltes with ""encaustic"" decoration",82.93.64,Gift of the family of Tillie S. Speyer,12/2/82,Decorative Arts and Design,"Gallery 19, Bruce Galleries",6.5,10.5,5.25,0,Estate of Tillie S. Speyer,Ceramics,Organization,"Wedgwood, Josiah & Sons Ltd.",,British,1759-01-01,,,
Chair,  1825,"painted cherry with stenciled and gilded decoration, gilded bronze, and original rush",83.101.1,Gift of George A. H. Nimick,2/2/84,Decorative Arts and Design,"Gallery 20, Bruce Galleries",19,32,19,0,"Belonged to Mr. George A. H. Nimick's mother, Mrs. Genevieve M. Amory, and came from the Croghan-Schenley house, Pic-Nic",Wood,Person,"unknown American, New York or Philadelphia",probably by,American,,,,
Chair,  1825,"painted cherry with stenciled and gilded decoration, gilded bronze, and original rush",83.101.2,Gift of George A. H. Nimick,2/2/84,Decorative Arts and Design,"Gallery 20, Bruce Galleries",19,32,19,0,"Belonged to Mr. George A. H. Nimick's mother, Mrs. Genevieve M. Amory, and came from the Croghan-Schenley house, Pic-Nic",Wood,Person,"unknown American, New York or Philadelphia",probably by,American,,,,
Return to the Village,  1925,oil on canvas,83.14,Purchase: gift of the H. J. Heinz II Charitable and Family Trust,4/7/83,Fine Arts,Carnegie Music Hall and Foyer,48.25,41.125,0,0,"Sydney B. Donnan, by 1934; private collection, Boston; Childs Gallery, Boston, 1981; East End Galleries, Pittsburgh, 1982; Museum purchase: gift of the H.J. Heinz II Charitable and Family Trust, 1983",paintings,Person,"Parcell, Malcolm",,American,1896-01-01,1/1/87,"Claysville, PA",
Armchair,  1930,plywood and painted metal,83.16.1,Decorative Arts Purchase Fund,4/7/83,Decorative Arts and Design,"Gallery 18, Bruce Galleries",21.375,34,19.5,0,"William Greenspon, NY, New York",furniture,Person,"Stam, Mart",attributed to,Dutch,1899-01-01,1/1/86,"Purmerend (North Holland, Netherlands)","Goldach, Switzerland"
Chair,  1745,walnut with walnut veneer and modern upholstery,83.18,Purchase: gift of the Women's Committee in memory of Mrs. John Berdan,4/7/83,Decorative Arts and Design,"Gallery 18, Bruce Galleries",22,38.25,22,0,"Bernard & S. Dean Levy, NY, New York",Wood,Person,"unknown American, New York or Boston",,American,,,,
Weed holder,1893-1902,copper,83.19,DuPuy Fund,4/7/83,Decorative Arts and Design,"Gallery 20, Bruce Galleries",4,29.25,4,0,"Jordan Volpe Gallery, NY, New York",Metals,Person|Organization,"Wright, Frank L.|Miller, James A. and Brother",designer|manufacturer,American,1867-01-01|1889-01-01,1959-01-01|,"Richland Center, Wisconsin|","Phoenix, Arizona|"
The Coffee Line,1905,oil on canvas,83.29,Fellows of the Museum of Art Fund,6/9/83,Fine Arts,"Gallery 6, Scaife Galleries",31.625,21.5,1.5,0,"The artist, until 1951; his estate; Kraushaar Galleries, New York, by 1983; Fellows of the Museum of Art Fund, 1983",paintings,Person,"Sloan, John",,American,1871-01-01,1/1/51,"Lock Haven, Pennsylvania","Hanover, New Hampshire"
Chair,  1882,gilded wood with mother-of-pearl inlay and modern upholstery,83.36,DuPuy Fund,6/9/83,Decorative Arts and Design,"Gallery 18, Bruce Galleries",19.75,34.5,19,0,"Jordan Volpe Gallery, NY, New York",Wood,Organization,Herter Brothers,manufacturer,American,1855-01-01,1/1/00,,
Easy chair,1742,"walnut, maple, and pine, with modern wool upholstery",83.37,Schoonmaker Memorial Fund,6/9/83,Decorative Arts and Design,"Gallery 19, Bruce Galleries",30.5,49.375,27,0,"John Walton, Inc., CT, Jewett City",Wood,Person,"Roby, William",,American,,,,
Chair,  1740,walnut with walnut veneer and period needlework upholstery,83.38,Ailsa Mellon Bruce Fund,6/9/83,Decorative Arts and Design,"Gallery 19, Bruce Galleries",21,38.375,21.75,0,"Sotheby's, NY, New York: 4/23/83, lot #755",Wood,Person,"Grendey, Giles",,British,1693-01-01,1780-01-01,,
Late Night Snack,  1900,oil on canvas,83.3,Purchase: gift of R. K. Mellon Family Foundation,2/2/83,Fine Arts,"Gallery 20, Bruce Galleries",22.062,16,1.875,0,"Private collection; Kennedy Galleries, New York, by 1979; Willard G. Clark, Hanford, Calif., by 1980; D. Wigmore Fine Art, New York, 1982; Museum Purchase: gift of R. K. Mellon Family Foundation, 1983",paintings,Person,"King, Albert F.",,American,1854-01-01,1/1/45,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania"
Teapot,  1790,silver and wood,83.45.1,Gift of Mr. and Mrs. Robert F. Van Voorhis in memory of Louise Jones Van Voorhis,6/9/83,Decorative Arts and Design,"Gallery 19, Bruce Galleries",12.375,6.5,4.562,0,"Mr. And Mrs. Robert F. Van Voorhis, Newark, OH",containers,Person,"Van Voorhis, Daniel",,American,1741-01-01,1824-01-01,,
Roses on a Tray,1861,oil on Japanese lacquer panel,83.51,Katherine M. McKenna Fund,10/6/83,Fine Arts,"Gallery 7, Scaife Galleries",11.25,19.875,0.313,0,"John Bancroft, Newport, R. I., after 1863; by descent to Pauline Blackie, Sleaford, England, until 1983; Katherine M. McKenna Fund, 1983",paintings,Person,"La Farge, John",,American,1835-01-01,1/1/10,New York City,"Newport, Rhode Island"
Ladle,  1800,silver,83.59,Purchase: gift of Mrs. J. Judson Brooks,10/6/83,Decorative Arts and Design,"Gallery 3, Scaife Galleries",3.875,15,3,0,"The Stradlings, New York",tools and equipment,Person,"Tannehill, Zachariah A.",,American,1797-01-01,1813-01-01,,
Chair,  1939,"glass, metal, and modern upholstery",83.78.2,DuPuy Fund,12/1/83,Decorative Arts and Design,The Charity Randall Gallery,23.25,29.25,22.75,0,"Christie's, NY, New York: 10/10/83, lot #235",furniture,Person|Organization,"Dierra, Louis|Pittsburgh Plate Glass Company",attributed designer|,American,|1883-01-01,|,|,|
Portrait of William Frew,1946,oil on canvas,83.83,Gift of Carnegie Institute,12/1/83,Contemporary Art,Carnegie Music Hall and Foyer,32.75,37.75,0,0,Carnegie Institute,paintings,Person,"Parcell, Malcolm",,American,1896-01-01,1/1/87,"Claysville, PA",
Windsor armchair,1815-1819,"hickory, maple and poplar",84.102,Gift of East End Galleries,12/6/84,Decorative Arts and Design,"Gallery 18, Bruce Galleries",18,35.5,19,0,"James Pentland [d. 1819]. East End Galleries, Pittsburgh, PA, until December 6, 1984 [1]; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 1984.

Notes:
[1]. The owner of East End Galleries was Michael Malley Jr. [1939-2016], Pittsburgh, PA. 

Under review by CGK.",Wood,Person,"Pentland, James",,American,1791-01-01,1819-01-01,,
Harbor Mole,1913,oil on canvas,84.106,"Gift of Frances L. Drew, M.D.",2/7/85,Fine Arts,"Gallery 9, Scaife Galleries",39.5,32,2.5,0,"Lyonel Feininger [1871-1956], Germany. F. R. Schon, Switzerland and Toronto, Canada, by 1936-40; Dominion Gallery, Montreal, Canada, 1943 or 1944; Mr. and Mrs. John Drew, Pittsburgh, PA, by 1946 [1]; fractional gifts of  Frances L. Drew, M.D. (Mrs. John Drew), 1984 to 1992; Carnegie Museum of Art, Pittsburgh, PA, October 1992.

Notes:
[1]. See American paintings and Sculpture, pages 186-188.

Under review by CGK",paintings,Person,"Feininger, Lyonel",,American,1871-01-01,1/1/56,New York City,New York City
Leg splint,1943,plywood,84.112.15,Gift of Barry Friedman and Patricia Pastor,2/7/85,Decorative Arts and Design,"Gallery 21, Bruce Galleries",7.75,42.5,3.625,0,"Barry Friedman And Patricia Pastor, New York, NY",Wood,Person|Person|Organization,"Eames, Charles|Eames, Ray|Evans Products Company, Molded Plywood Products Division",designer|designer|manufacturer,American,1907-01-01|1916-01-01|1943-01-01,1978-01-01|1988-01-01|1949-01-01,"Saint Louis (St. Louis Indep. City, Missouri, United States)|Sacramento (Sacramento county, California, United States)|","Saint Louis (St. Louis Indep. City, Missouri, United States)|Los Angeles (Los Angeles county, California, United States)|"
Swan Chair,1957,chromium-plated steel with original wool upholstery,84.112.5,Gift of Barry Friedman and Patricia Pastor,2/7/85,Decorative Arts and Design,"Gallery 18, Bruce Galleries",30,32,27,0,"Barry Friedman And Patricia Pastor, New York, NY",furniture,Person|Organization,"Jacobsen, Arne|Fritz Hansen, A/S",designer|manufacturer,Danish,1902-01-01|1872-01-01,1971-01-01|,"Copenhagen (København commune, Denmark)|","Copenhagen (København commune, Denmark)|"
Pier table,  1847,"rosewood veneered on pine, marble",84.117,Gift of East End Galleries,4/5/84,Decorative Arts and Design,"Gallery 3, Scaife Galleries",30.25,32,16.5,0,"East End Galleries, PA, Pittsburgh",Wood,Organization,"Roberts, W. B. and Kane, M., Jr.",,American,1847-01-01,,,
Frivolous Vase and Shadow,1983,glazed earthenware,84.13.A-B,Decorative Arts Purchase Fund,4/5/84,Decorative Arts and Design,Hall of Sculpture Balcony,11,24.5,17,0,"Max Protech, NY, New York",Ceramics,Person,"Woodman, Betty",,American,1/1/30,,"Norwalk, CT",
The Builders,1984,bronze,84.15.1,Gift of Allegheny Conference on Community Development,4/5/84,Contemporary Art,Off-site,0,72,0,0,"Commissioned by the Allegheny Conference on Community Development, 1983; Gift of the Allegheny Conference on Community Development, 1984.

TBF 10/31/14",sculpture,Person,"Danhires, George",,American,1/1/42,,,
Pittsburgh Variations,1984,painted aluminum,84.15.2,Gift of Allegheny Conference on Community Development,4/5/84,Contemporary Art,Off-site,480,360,0,0,"Commissioned by the Allegheny Conference on Community Development, 1983; Gift of the Allegheny Conference on Community Development, 1984.

TBF 10/30/14",sculpture,Person,"Sugarman, George",,American,1/1/12,1/1/99,"Bronx, NY",
The Forks,1984,aluminum,84.15.3,Gift of Allegheny Conference on Community Development,4/5/84,Contemporary Art,Off-site,74,144,42,0,"Commissioned by the Allegheny Conference on Community Development, 1983; Gift of the Allegheny Conference on Community Development, 1984.


TBF 10/30/14",sculpture,Person,"Witkin, Isaac",,American,1/1/36,1/1/06,South Africa,"Pemberton (Burlington county, New Jersey, United States)"
Piazza Lavoro,1984,"cast concrete, mosaic and terrazzo",84.15.4.1,"Gift of Allegheny Conference on Community Development, Commissioned by the Heinz Family and the H. J. Heinz Company",4/5/84,Contemporary Art,Off-site,600,264,0,600,Ned Smyth,sculpture,Person,"Smyth, Ned",,American,1/1/48,,New York City,
Mythical Source,1984,"cast concrete, mosaic and terrazzo",84.15.4.2,"Gift of Allegheny Conference on Community Development, Commissioned by the Heinz Family and the H. J. Heinz Company",4/5/84,Contemporary Art,Off-site,0,264,0,0,Ned Smyth,sculpture,Person,"Smyth, Ned",,American,1/1/48,,New York City,
Chair,  1900,mahogany with modern leather upholstery,84.33.1,Decorative Arts Purchase Fund,6/14/84,Decorative Arts and Design,"Gallery 18, Bruce Galleries",16.25,38,19,0,"Barry Friedman Ltd., New York City, New York",Wood,Person,"Gaillard, Eugène",,French,1862-01-01,1/1/33,,
Chair,  1904,pearwood with modern leather,84.33.3,Decorative Arts Purchase Fund,6/14/84,Decorative Arts and Design,"Gallery 18, Bruce Galleries",18,47,17.25,0,"Barry Friedman Ltd., New York City, New York",Wood,Person,"Guimard, Hector",,French,1867-01-01,1/1/42,"Lyon, France","New York City, NY"
The Future Generation,1942-1947,bronze,84.4,Gift of Mr. and Mrs. Peter V. Cardone,6/14/84,Fine Arts,"Gallery 11, Scaife Galleries",18.75,39.375,14,0,"Peter Cardone, Whitestone, NY",sculpture,Person,"Zorach, William",,American,1887-01-01,1/1/66,"Jurbarkas (Jurbarkas district, Lithuania)","Bath (sagadahoc county, Maine, United States)"
Fruit knife,  1880,bronze and silver,84.50.2,Gift of Mr. and Mrs. Alexander C. Speyer III,6/14/84,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,7.75,0,0,"Gift of Mr. and Mrs. Alexander C. Speyer III, Pittsburgh, PA, 1984.",Metals,Organization,Gorham Manufacturing Company,,American,1831-01-01,,"Providence, RI",
Lilies and Pelargoniums in a White Vase,1863,oil on canvas,84.55,Purchase: bequest of Roy A. Hunt and gift of the Roy A. Hunt Foundation in memory of Mr. and Mrs. Roy Arthur Hunt,10/4/84,Fine Arts,"Gallery 6, Scaife Galleries",15,18,3,0,"Gustave Tempelaere, Paris; Arnold & Tripp, London and Paris; Albert Dubosc, Sainte Adresse, France, c. 1936; Private Collection, Paris; [from Philippe Brame, Galerie Brame-Lorenceau, Paris]; purchased by Museum, October 1984.

Updated by CGK
July 2012",paintings,Person,"Fantin-Latour, H.",,French,1836-01-01,1/1/04,"Grenoble (Isère, Rhône-Alpes, France)",Basse-Normandie (France)
Vase,1882,earthenware with underglaze decoration,84.58,"Mr. and Mrs. George R. Gibbons, Jr. Fund",10/4/84,Decorative Arts and Design,"Gallery 7, Scaife Galleries",13.5,25.875,13.5,0,"Jordan Volpe Gallery, NY, New York",Ceramics,Person|Organization,"Bennett, John|Bennett, John Pottery",designer|manufacturer,American,1840-01-01|1877-01-01,1907-01-01|1882-01-01,England|,"West Orange, New Jersey|"
Hokusai's Wave,1982,mild steel,84.6,Gift of Mr. and Mrs. Leon Anthony Arkus in memory of Dr. Verner B. Callomon (1892-1977),10/4/84,Contemporary Art,Museum Grounds,112.625,84.75,25,0,"Leon A. Arkus, Pittsburgh, PA",sculpture,Person,"Youngerman, Jack",,American,1/1/26,,"Louisville (Jefferson county, Kentucky, United States)",
Pittsburgh Memories,1984,collage on board,84.63,Gift of Mr. and Mrs. Ronald R. Davenport and Mr. and Mrs. Milton A. Washington,10/4/84,Contemporary Art,Forum Gallery,30.5,35,1.625,0,"Romare Bearden [1911-1988]; commissioned by Carnegie Museum of Art, Pittsburgh, PA, October 1984.",collages,Person,"Bearden, Romare",,American,1/1/11,1/1/88,"Charlotte (Mecklenburg county, North Carolina, United States)","New York City (New York state, United States)"
Double Portrait of the Artist's Parents,1943,oil on Masonite,84.74,Gift of the artist,10/4/84,Fine Arts,Forum Gallery,18,25.375,0.125,0,"The artist, until 1984; gift to museum, 1984",paintings,Person,"Pearlstein, Philip",,American,1/1/24,,"Pittsburgh, Pennsylvania",
Head of a Woman,  1890-1900,oil on canvas,84.75,Bequest of Dr. Thomas B. Stevenson,10/4/84,Fine Arts,"Gallery 4, Scaife Galleries",22.5,26,2.375,0,"Thomas B. Stevenson, New York; bequest to Museum, October 1984.",paintings,Person,"Carrière, Eugène",,French,1849-01-01,1/1/06,," Paris (Ville de Paris department, Île-de-France, France)"
Still Life with Brioche (Nature morte à la brioche),1880,oil on canvas,84.8,"William R. Scott, Jr. Fund",2/2/84,Fine Arts,"Gallery 6, Scaife Galleries",13.875,21.75,3.25,0,"Edouard Manet [1832-1883], until 1880; purchased by Dr. Thomas W. Evans [1823-1897], Paris, France, 1880 until November 14, 1897 [1]; bequest to the Thomas W. Evans Museum and Institute Society, Philadelphia, PA, November 1897 until June 1912; Thomas W. Evans Museum and Dental Institute School of Dentistry University of Pennsylvania, Philadelphia, PA, June 1912 until November 15, 1983 [2]; sold at Christie's, New York, NY, November 15, 1983, no. 57 [3]; William Russell Scott, Jr., Pittsburgh, PA and Los Angeles, CA, November 15, 1983 until February 2, 1984; acquired by Museum of Art, Carnegie Institute, Pittsburgh, PA, February 1984 [4]. 

Notes:
[1]. Bought from the artist for 500 francs. See Anne Coffin Hanson's article ""A Tale of Two Manets"" in ""Art in America,"" December 1979, p. 59.
[2]. An agreement was reached between the University of Pennsylvania and the Evans Society in June 1912; the university assumed the responsibility of instruction and the Society erected a new dental building. The new institution was called the Thomas W. Evans Museum and Dental Institute School of Dentistry University of Pennsylvania. It was located on the site of the former Evans estate at the corner of the 40th and Spruce Street and was completed in early 1915. It housed both the Dental School with its new lecture halls, clinics, and laboratories, and the Evans Museum. See Penn-University Archives & Records website under ""School of Dental Medicine: A Brief History.""
[3]. The anonymous buyer at the sale was represented by Hirschl and Adler Galleries, Inc., New York, NY. The buyer, William R. Scott, was billed by the gallery on November 15, 1983 (see copy of invoice in curatorial file.) 
[4]. The panting arrived at the museum directly from Hirschl and Adler; it was on loan to the museum from Mr. Scott and it was exhibited publicly as a loan in December 1983. The painting was acquired by the museum from Mr. Scott, using the William R. Scott, Jr. Fund, in February of 1984.",paintings,Person,"Manet, Edouard",,French,1832-01-01,1883-01-01,"Paris, France","Paris, France"
Cabinet with mirror,  1860,"rosewood, mahogany, cherry, and white pine with inlay of various woods, mirrored glass, and gilded bronze",85.10.A-B,Purchase: gift of the Women's Committee,4/4/85,Decorative Arts and Design,"Gallery 6, Scaife Galleries",89.5,155.75,24,0,"Made for the Peck House, 'Samsondale,' West Haverstraw, New York.  Peck interior attributed to Gustav Herter on basis of style and a clock which has descended in the family, the dial of which is signed ""G. Herter, New York""

Richard McGeehan, Bedford Hills, NY",furniture,Person,"Herter, Gustave",attributed to,American,1830-01-01,1898-01-01,"Stuttgart, Germany",New York
Issue,1985,oil on aluminum with steel supports,85.15,Edith H. Fisher Fund,6/13/85,Contemporary Art,"Gallery 16, Scaife Galleries",56,59,0.375,0,"Rhona Hoffman Gallery, Chicago; Carnegie Museum of Art, Pittsburgh; Edith H. Fisher Fund",paintings,Person,"Ryman, Robert",,American,1/1/30,,"Nashville-Davidson (Davidson cuounty, Tennessee, United States)",
Watchtower II (Hochsitz II),1984-1985,"silver, silver oxide, and synthetic resin on canvas",85.17,"William R. Scott, Jr. Fund",6/13/85,Contemporary Art,"Gallery 16, Scaife Galleries",88.75,119.625,1.625,0,"Anthony D'Offay, London; Carnegie Museum of Art, Pittsburgh; William R. Scott, Jr., Fund",paintings,Person,"Polke, Sigmar",,German,1/1/41,1/1/10,"Oels, Poland","Cologne, Germany"
The Mocking (Die Verspottung),1984,oil on canvas,85.2,"Gordon Bailey Washburn Memorial Fund, the Women's Committee Washburn Memorial Fund, and Carnegie International Acquisition Fund",2/7/85,Contemporary Art,"Gallery 15, Scaife Galleries",98.5,118.25,1.125,0,"Galerie Michael Werner, Federal Republic of Germany; Carnegie Museum of Art, Pittsburgh; Gordon Bailey Washburn Memorial Fund, Women's Committee Washburn Memorial Fund, and Carnegie Internationa Acquisition Fund",paintings,Person,"Baselitz, Georg",,German,1/1/38,,"Deutschbaselitz (Saxony, Germany)",
"Having Fun/Good Life, Symptoms",1985,fabricated neon,85.32,Purchase: gift of the Partners of Reed Smith Shaw and McClay and Carnegie International Acquisition Fund,10/3/85,Contemporary Art,"Gallery 15, Scaife Galleries",131.375,69,15,0,Sperone-Westwater (gallery representation) and Leo Castelli,sculpture,Person,"Nauman, Bruce",,American,1/1/41,,"Fort Wayne (Allen county, Indiana, United States)",
Carnegie,1985,Cor-ten steel,85.33,Given in memory of William R. Roesch by his Wife Jane Holt Roesch,10/3/85,Contemporary Art,Museum Grounds,228,466,255,0,Steel Rolled by Lukens Steel                                Steel Fabricated by Pittsburgh-Des Moine,sculpture,Person,"Serra, Richard",,American,1/1/39,,"San Fransisco, California",
Table,  1876,"ebonized oak, pine, and beech",85.35,Decorative Arts Purchase Fund,10/3/85,Decorative Arts and Design,"Gallery 7, Scaife Galleries",39,28.875,38,0,"Margot Johnson, Inc., NY, New York",Wood,Person|Person,"Godwin, Edward William|Watt, William",designer|maker,British,1833-01-01|1868-01-01,1886-01-01|1885-01-01,"Bristol (Bristol, England, United Kingdom)|","Westminster (London, Greater London, England, United Kingdom)|"
Portrait of James M. Walton,1985,oil on canvas,85.37,Anonymous Gift,10/3/85,Contemporary Art,Carnegie Music Hall and Foyer,42.188,60.5,0,0,"Aaron Shikler [1922-]; Anonymous donor; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, October 1985.",paintings,Person,"Shikler, Aaron",,American,1/1/22,,"Brooklyn, NY",
Still Life with Fruit,  1854-1855,oil on canvas,85.4,"Gift of Gulf Oil Corporation, a subsidiary of Chevron Corporation",10/3/85,Fine Arts,"Gallery 3, Scaife Galleries",40.063,30.062,3.75,0,"Private collection, Williamsport, Pa.; Schweitzer Gallery, New York, by 1973; Gulf Oil Corporation, Pittsburgh, by 1974; Gift of Glf Oil Corporation, a subsidiary of Chevron Corporation, 1985",paintings,Person,"Roesen, Severin",,American,1815-01-01,1871-01-01,"Cologne, Germant",
Phenomena Prism Crucible,1984,acrylic on canvas,85.42,Gift of the artist,10/3/85,Contemporary Art,Off-site,156,72,0,0,"Paul Jenkins, New York City",paintings,Person,"Jenkins, Paul",,American,1/1/23,1/1/12,"Kansas City (Jackson county, Missouri, United States)",
Courtship in Sleepy Hollow: Ichabod Crane and Katrina Van Tassel,1868,painted plaster,85.44,"Gift of Lela Weber Kyler in memory of her son, Edgar G. Weber",10/3/85,Fine Arts,"Gallery 3, Scaife Galleries",15.25,16.25,9,0,"Originally purchased in Meadville, Pa.; descended in the family of Lela Weber Kyler, who received it in 1918 as a wedding gift; Gift of Lela Weber Kyler in memory of her son, Edgar G. Weber, 1985",sculpture,Person,"Rogers, John",,American,1829-01-01,1/1/04,"Salem, MA","New Canaan, CT"
Portrait of Dr. M. Graham Netting,1966,oil on canvas,85.50.2,Gift of Carnegie Institute,10/3/85,Contemporary Art,Carnegie Music Hall and Foyer,25,29.75,0,0,"Transfer from the Carnegie Institute, 1985.

TBF 10/31/14",paintings,Person,"Hailstone, Bernard",,British,1/1/10,1/1/87,,
Portrait of O.E. Jennings,1952,watercolor on paper,85.50.3,Gift of Carnegie Institute,10/3/85,Contemporary Art,Carnegie Music Hall and Foyer,38,30,0,0,Transferred from Carnegie Institute,drawings and watercolors,Person,"Shoumatoff, Elizabeth",,American,1888-01-01,1/1/80,,
"Wall Drawing #450, A wall is divided vertically into four equal parts.  All one-, two-, three-, and four-part combinations of four colors",1985,Lascaux acrylic wash,85.59,Purchase: gift of Richard M. Scaife to honor Margaret R. Battle,12/5/85,Contemporary Art,Museum of Art Lobby,864,354,0,0,Sol Lewitt,drawings and watercolors,Person,"LeWitt, Sol",,American,1/1/28,1/1/07,"Hartford (Hartford county, Connecticut, United States)","New York City (New York state, United States)"
Crankshaft,  1932,oil on Masonite,85.6.1,Patrons Art Fund,4/4/85,Fine Arts,"Gallery 21, Bruce Galleries",30.188,25.125,0,0,"Robert Lepper, Pittsburgh, PA, until 1985; purchased by Museum, 1985.",paintings,Person,"Lepper, Robert",,American,1/1/06,1/1/91,"Aspinwall, PA","Washington, DC"
Gas Producer,1941,Valspar synthetic varnish and dry color on tempered hardboard,85.6.2,Patrons Art Fund,4/4/85,Fine Arts,"Gallery 21, Bruce Galleries",30,36,0,0,"Robert Lepper, Pittsburgh, PA, until 1985; purchased by Museum, 1985.",paintings,Person,"Lepper, Robert",,American,1/1/06,1/1/91,"Aspinwall, PA","Washington, DC"
Covered beaker,  1715,Porcelain,85.63.A-B,Berdan Memorial Trust Fund,12/5/85,Decorative Arts and Design,"Gallery 2, Scaife Galleries",0,13.438,0,6,"Kate Foster Ltd., London, England",Ceramics,Person|Organization,"Irminger, Johann J.|Meissen Porcelain Manufactory",modeler|manufacturer,German,1635-01-01|1710-01-01,1724-01-01|,"|Meissen (Saxony, Germany)",|
